Date,AAPL,AMZN,CAT,CVX,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,V,XOM
2015-01-02,24.261051177978516,15.425999641418457,69.32035827636719,70.99369812011719,26.296133041381836,77.44416046142578,46.72093200683594,29.99259376525879,77.9693374633789,39.93305206298828,0.48303836584091187,19.01799774169922,66.51834106445312,61.46249008178711,58.42348098754883
2015-01-05,23.577573776245117,15.10949993133545,65.66120147705078,68.15597534179688,25.795085906982422,76.90328216552734,45.27048873901367,29.99259376525879,76.7170639038086,39.56583786010742,0.47487953305244446,18.914806365966797,66.20207977294922,60.10578155517578,56.82492446899414
2015-01-06,23.57978630065918,14.76449966430664,65.23869323730469,68.12443542480469,25.15848159790039,76.525390625,44.09666061401367,30.220340728759766,75.68344116210938,38.9851188659668,0.46048206090927124,19.072629928588867,65.90052795410156,59.71846008300781,56.52281951904297
2015-01-07,23.910438537597656,14.920999526977539,66.24970245361328,68.06768035888672,25.084489822387695,78.21475982666016,44.1639518737793,30.59758186340332,75.68344116210938,39.480430603027344,0.4592822194099426,19.33364486694336,66.24620056152344,60.51858139038086,57.095550537109375
2015-01-08,24.82912826538086,15.02299976348877,66.92872619628906,69.62527465820312,25.17188835144043,78.82974243164062,45.1508674621582,30.967676162719727,77.70099639892578,40.641876220703125,0.4765594005584717,19.72821617126465,67.00376892089844,61.3303108215332,58.04587936401367
2015-01-09,24.855754852294922,14.846500396728516,66.12897491455078,68.2379379272461,24.864505767822266,77.75537872314453,44.3658332824707,30.626056671142578,77.2636947631836,40.30027389526367,0.4784790575504303,19.81926918029785,66.37860107421875,60.42118453979492,57.964046478271484
2015-01-12,24.243288040161133,14.570500373840332,65.55560302734375,66.76863098144531,24.682764053344727,77.4886245727539,43.984519958496094,30.348464965820312,76.24994659423828,39.796409606933594,0.47248008847236633,19.89211082458496,66.13589477539062,60.30288314819336,56.850093841552734
2015-01-13,24.458538055419922,14.737000465393066,65.16329193115234,65.70919036865234,24.918136596679688,77.62201690673828,43.99198532104492,30.341352462768555,75.98158264160156,39.591453552246094,0.471760094165802,19.691789627075195,66.41539764404297,60.47915267944336,56.64237594604492
2015-01-14,24.365345001220703,14.66349983215332,64.93692016601562,65.52001190185547,25.12322235107422,77.05886840820312,42.47425079345703,30.29153823852539,75.81262969970703,39.24985885620117,0.47367990016937256,19.716081619262695,66.18737030029297,59.2685546875,56.478763580322266
2015-01-15,23.704057693481445,14.34749984741211,64.13821411132812,64.7443618774414,25.02787971496582,75.94003295898438,41.11351776123047,30.163414001464844,73.59630584716797,38.83993911743164,0.4703204333782196,19.667510986328125,66.09174346923828,58.704994201660156,55.98786544799805
2015-01-16,23.519886016845703,14.536999702453613,63.788333892822266,66.28937530517578,25.348173141479492,77.0885238647461,41.816322326660156,30.270179748535156,74.7193832397461,39.48897933959961,0.47895899415016174,19.910322189331055,67.11408233642578,59.12706756591797,57.34727096557617
2015-01-20,24.12568473815918,14.472000122070312,63.87202072143555,67.14067077636719,25.322349548339844,75.05091857910156,41.65183639526367,30.71857261657715,75.77287292480469,39.617088317871094,0.4803988039493561,20.09242820739746,67.0699462890625,59.565399169921875,57.3283805847168
2015-01-21,24.309865951538086,14.862500190734863,64.93692016601562,68.20639038085938,25.841270446777344,75.50285339355469,41.786415100097656,30.86091423034668,76.26982116699219,39.21569061279297,0.48711758852005005,19.813203811645508,67.20626068115234,59.66744613647461,57.819305419921875
2015-01-22,24.942302703857422,15.515999794006348,66.0398941040039,68.68565368652344,26.680978775024414,76.88105010986328,43.05742645263672,31.159849166870117,77.17424774169922,40.2490348815918,0.49551627039909363,19.916393280029297,67.86553192138672,59.74165725708008,58.44865036010742
2015-01-23,25.07100486755371,15.619500160217285,65.11947631835938,67.38031768798828,26.911890029907227,75.72516632080078,42.377071380615234,30.82532501220703,77.35314178466797,40.29172897338867,0.4969557821750641,19.697864532470703,66.72479248046875,59.90167236328125,57.202510833740234
2015-01-26,25.097637176513672,15.482999801635742,65.43895721435547,68.66046905517578,26.652177810668945,75.76961517333984,42.4443473815918,30.604700088500977,77.02515411376953,40.14655685424805,0.49479639530181885,19.910322189331055,66.35442352294922,59.493499755859375,57.750057220458984
2015-01-27,24.218881607055664,15.337499618530273,60.738128662109375,68.26946258544922,25.880996704101562,75.64366912841797,42.01818084716797,30.170536041259766,75.31571197509766,36.431640625,0.4710403084754944,19.78891372680664,64.06556701660156,58.20869445800781,57.24028396606445
2015-01-28,25.58804702758789,15.195500373840332,60.859832763671875,65.40023803710938,25.445999145507812,75.1916732788086,40.93408203125,29.836023330688477,75.77287292480469,35.17626190185547,0.4633616805076599,19.394351959228516,63.072994232177734,57.13490295410156,55.352195739746094
2015-01-29,26.38469123840332,15.58899974822998,60.852230072021484,64.95248413085938,25.48572540283203,75.85851287841797,41.62192153930664,29.964122772216797,77.5220947265625,35.876556396484375,0.4746396839618683,19.32150650024414,63.45817947387695,57.515262603759766,55.11933517456055
2015-01-30,25.998571395874023,17.726499557495117,60.82940673828125,64.65608215332031,26.693391799926758,74.19879913330078,40.6574592590332,29.30221176147461,75.44490814208984,34.50160598754883,0.46072205901145935,18.969436645507812,62.43598556518555,59.117801666259766,55.018638610839844
2015-02-02,26.324779510498047,18.223499298095703,61.49115753173828,66.88213348388672,26.42772674560547,74.71006774902344,41.47238540649414,29.601150512695312,74.53053283691406,35.25312423706055,0.47080036997795105,19.21224594116211,63.0507698059082,59.217525482177734,56.378074645996094
