Date,AAPL,ABT,AMZN,AVGO,BA,BAC,BRK-B,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,SAP,SBUX,TMO,TXN,UNH,UPS,V,VZ,WFC,WMT,XOM
2013-01-02,16.61220359802246,25.018192291259766,12.865500450134277,2.3678770065307617,64.58384704589844,9.448624610900879,93.19999694824219,67.330322265625,13.591168403625488,79.99132537841797,42.27880096435547,13.667675018310547,64.35568237304688,45.38583755493164,81.7301254272461,17.963621139526367,103.16698455810547,47.02509307861328,44.4483757019043,113.85726928710938,15.289299011230469,49.25477600097656,31.50130271911621,25.0806884765625,37.893917083740234,47.190185546875,63.924530029296875,27.805768966674805,26.213157653808594,14.281325340270996,22.242877960205078,21.99990463256836,0.29343435168266296,28.763944625854492,47.11296081542969,14.4480619430542,47.98059844970703,46.07334899902344,45.485023498535156,67.15248107910156,21.444982528686523,62.13981628417969,22.606672286987305,44.27320098876953,48.712547302246094,35.417240142822266,22.96084213256836,24.324430465698242,17.820796966552734,52.39025115966797
2013-01-03,16.40252685546875,25.97052764892578,12.923999786376953,2.380248546600342,64.91905212402344,9.393645286560059,93.62000274658203,67.9783935546875,13.439454078674316,80.81132507324219,41.67119216918945,13.741593360900879,64.0816879272461,45.48352813720703,80.81095886230469,17.97405242919922,102.60279846191406,46.891761779785156,44.61998748779297,113.23101043701172,15.246391296386719,49.18525695800781,31.43781089782715,25.0806884765625,38.05463790893555,47.2576904296875,64.28629302978516,27.577363967895508,26.840904235839844,14.252205848693848,21.944915771484375,22.224822998046875,0.29366499185562134,28.4488582611084,47.133331298828125,14.414606094360352,47.67634582519531,45.60593795776367,45.2742805480957,65.56330871582031,21.589248657226562,61.9486198425293,22.312801361083984,42.203216552734375,48.757225036621094,35.444610595703125,22.8519287109375,24.1231689453125,17.707550048828125,52.2957649230957
2013-01-04,15.945636749267578,25.814407348632812,12.957500457763672,2.36496639251709,65.10340881347656,9.511459350585938,93.8499984741211,68.35285949707031,13.43239688873291,80.55115509033203,41.89348220825195,13.761746406555176,64.41984558105469,46.35395050048828,81.19393157958984,18.329227447509766,105.40023040771484,46.80287551879883,45.53298568725586,112.4887924194336,15.131970405578613,49.748435974121094,31.995052337646484,25.120716094970703,39.46293640136719,47.2558479309082,63.733009338378906,28.560495376586914,26.612646102905273,14.696227073669434,21.534194946289062,22.441265106201172,0.3033539056777954,28.69761848449707,47.20127868652344,14.475951194763184,47.773155212402344,45.956485748291016,44.606929779052734,65.5388412475586,21.71401596069336,62.4935417175293,22.263824462890625,42.28438186645508,48.87851333618164,35.73408508300781,22.976402282714844,24.248090744018555,17.77447509765625,52.53791427612305
2013-01-07,15.851844787597656,26.02517318725586,13.42300033569336,2.351868152618408,63.79612731933594,9.495748519897461,93.44999694824219,68.56169891357422,13.37240982055664,79.92825317382812,41.73787307739258,13.634077072143555,63.982582092285156,45.2703742980957,80.92585754394531,18.249250411987305,105.20433044433594,46.550994873046875,45.553565979003906,111.99588012695312,15.19632339477539,49.6441535949707,32.03032302856445,24.880573272705078,39.40937042236328,48.07478332519531,64.48490142822266,29.215919494628906,26.707754135131836,14.412337303161621,21.49393653869629,22.47521209716797,0.29458779096603394,28.548358917236328,47.19447326660156,14.487095832824707,47.448177337646484,45.81309127807617,44.96518325805664,65.02542877197266,21.72571563720703,62.98106384277344,22.333786010742188,42.28438186645508,48.738075256347656,35.9893798828125,23.17868423461914,24.130109786987305,17.60460090637207,51.929595947265625
2013-01-08,15.894498825073242,26.03297233581543,13.319000244140625,2.3358592987060547,62.12016677856445,9.409353256225586,93.80999755859375,67.69036865234375,13.46414852142334,79.77841186523438,41.98240280151367,13.647518157958984,63.69694519042969,45.08385467529297,80.0449447631836,18.213237762451172,104.25617218017578,46.832481384277344,45.12797546386719,111.83927917480469,15.081907272338867,49.65110778808594,32.093788146972656,24.707151412963867,39.707855224609375,47.91655349731445,64.50618743896484,28.858413696289062,26.745790481567383,14.303163528442383,21.381193161010742,22.237558364868164,0.28812849521636963,28.556655883789062,47.33718490600586,14.50940227508545,47.37213134765625,45.72810745239258,44.89494323730469,65.10691833496094,21.686729431152344,62.589115142822266,22.07491111755371,41.724266052246094,48.60402297973633,36.32445526123047,22.6146183013916,24.088470458984375,17.65349769592285,52.254432678222656
2013-01-09,15.646093368530273,26.20470428466797,13.317500114440918,2.3875250816345215,64.32405853271484,8.977372169494629,93.31999969482422,68.00720977783203,13.555883407592773,79.81785583496094,42.44182205200195,13.640791893005371,63.86016845703125,45.101619720458984,80.23650360107422,18.33295249938965,105.25135803222656,46.79545593261719,45.67713928222656,111.52034759521484,15.339359283447266,49.87358093261719,32.0726318359375,24.700483322143555,40.542118072509766,49.264793395996094,64.41398620605469,30.377803802490234,27.005773544311523,14.281325340270996,21.501989364624023,22.2587833404541,0.2816692590713501,28.573238372802734,47.57503890991211,14.760336875915527,47.62795639038086,45.590003967285156,45.57633590698242,65.23731994628906,21.30071258544922,64.74966430664062,22.389766693115234,42.51165771484375,49.15298080444336,36.878353118896484,22.562152862548828,24.088470458984375,17.648359298706055,52.05364227294922
2013-01-10,15.840044975280762,26.423269271850586,13.267000198364258,2.4391889572143555,64.60059356689453,9.252270698547363,94.6500015258789,68.46808624267578,13.584115028381348,79.4314956665039,42.76044845581055,13.734872817993164,64.40232849121094,45.11050796508789,81.07906341552734,18.416404724121094,107.64130401611328,47.128814697265625,45.59476852416992,111.84515380859375,15.589644432067871,50.19343185424805,32.552284240722656,24.65378761291504,40.75642776489258,48.82619857788086,64.83245849609375,31.082874298095703,27.12624740600586,14.805408477783203,21.3087158203125,22.301218032836914,0.28213077783584595,28.946365356445312,48.11867904663086,14.92204761505127,47.89763259887695,46.36551284790039,45.50608825683594,67.15248107910156,21.265625,64.56806182861328,22.690628051757812,43.11237716674805,49.91901397705078,36.58658981323242,22.871723175048828,24.567331314086914,17.59431266784668,52.62058639526367
2013-01-11,15.742916107177734,26.156768798828125,13.397000312805176,2.4988598823547363,62.9832878112793,9.134455680847168,94.38999938964844,68.54730987548828,13.569999694824219,79.06880187988281,42.817256927490234,13.761746406555176,65.13689422607422,44.923988342285156,80.92585754394531,18.3794002532959,107.45323181152344,47.18806838989258,45.519264221191406,112.75547790527344,15.732674598693848,50.3046760559082,32.54523468017578,24.62042999267578,40.6492805480957,48.92149353027344,65.06654357910156,31.49996566772461,27.411582946777344,14.681663513183594,21.606679916381836,22.534622192382812,0.2816692590713501,28.9049015045166,48.16624069213867,14.788214683532715,47.86306381225586,47.395973205566406,45.590389251708984,66.6471939086914,21.44887924194336,64.57762145996094,22.68363380432129,42.8769645690918,49.740257263183594,36.7347412109375,22.719566345214844,24.359130859375,17.663803100585938,52.921775817871094
2013-01-14,15.181638717651367,26.14892578125,13.636500358581543,2.515596389770508,64.1480941772461,9.008788108825684,95.36000061035156,68.1440200805664,13.732304573059082,79.13975524902344,42.98027801513672,14.091009140014648,65.78984069824219,44.93286895751953,80.8875732421875,17.963621139526367,106.66963958740234,47.02509307861328,45.828182220458984,111.6943588256836,15.732674598693848,50.4506950378418,32.361820220947266,24.673797607421875,40.412010192871094,48.44306564331055,64.92469024658203,30.73530387878418,27.481340408325195,14.608874320983887,21.65499496459961,22.57281494140625,0.2814386487007141,28.987823486328125,48.44485092163086,14.910893440246582,48.14656066894531,47.31097412109375,45.126766204833984,66.72869110107422,21.316303253173828,64.58717346191406,22.62765121459961,43.31531524658203,50.58290100097656,36.61849594116211,22.347023010253906,24.130109786987305,17.57886505126953,52.90404510498047
2013-01-15,14.702665328979492,25.882421493530273,13.595000267028809,2.46465802192688,64.47492218017578,9.071621894836426,95.36000061035156,68.89295196533203,13.831100463867188,79.75476837158203,43.13835525512695,14.097728729248047,66.1338119506836,45.37694549560547,81.19393157958984,18.005346298217773,106.24647521972656,47.37327194213867,45.910545349121094,111.62471008300781,15.646860122680664,50.318580627441406,32.6933479309082,24.893922805786133,40.78704833984375,48.37738037109375,64.91048431396484,29.89120101928711,27.183320999145508,14.870912551879883,21.912700653076172,22.763790130615234,0.27636343240737915,28.77224349975586,48.655517578125,14.843979835510254,48.319419860839844,47.231300354003906,45.26724624633789,63.199913024902344,21.242229461669922,64.7592544555664,22.58567237854004,43.5263671875,50.640357971191406,36.57289505004883,22.021711349487305,24.366056442260742,17.753887176513672,52.874549865722656
